date,quality_grade,site,latitude,longitude,species,common_name,functional_group
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14652954,-5.061628084,Peracarida,"Amphipods, Isopods, and Allies",DDF
2024-10-19,research,"Castle Beach, Falmouth",50.14569432,-5.062617548,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14570802,-5.062615536,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14559483,-5.06265908,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14581986,-5.062165243,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14555262,-5.06280871,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14582135,-5.062141703,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14551671,-5.062521147,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14564071,-5.062255553,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14592783,-5.061277833,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.1474087,-5.0599458,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14579606,-5.0626082,Actinia equina,Atlantic Beadlet Anemone,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14540138,-5.06262331,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14562932,-5.06204115,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14588575,-5.062176178,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14579951,-5.062177456,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14553721,-5.06209294,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14558121,-5.062223012,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14546982,-5.062040105,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14544752,-5.062261652,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14581065,-5.061632108,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14540829,-5.06198572,Nucella lapillus,Atlantic Dogwhelk,MPS
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14598667,-5.062058333,Pseudoralfsia verrucosa,Atlantic Limpet-garden Weed,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.1462341,-5.0633504,Idotea balthica,Baltic Isopod,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14582863,-5.062760251,Imparidentia,Bivalve Molluscs,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14567897,-5.061507801,Melitidae,Bivalve Scuds,DDF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1455695,-5.062227833,Melitidae,Bivalve Scuds,DDF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1472,-5.057794444,Melitidae,Bivalve Scuds,DDF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14542892,-5.062619285,Melitidae,Bivalve Scuds,DDF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14563667,-5.062655,Bivalvia,Bivalves,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14536286,-5.062107341,Ophiocomina nigra,Black Brittle-star,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14538617,-5.062063833,Ophiocomina nigra,Black Brittle-star,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14531911,-5.061814166,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14541625,-5.062007597,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14550309,-5.061630914,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14652645,-5.059794787,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14557805,-5.06141299,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14560075,-5.06111555,Galathea squamifera,Black Squat Lobster,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14593228,-5.062507577,Fucus vesiculosus,Bladder Wrack,CFM
2024-10-19,research,"Castle Beach, Falmouth",50.1460918,-5.0636629,Fucus vesiculosus,Bladder Wrack,CFM
2024-10-19,research,"Castle Beach, Falmouth",50.14567282,-5.062967325,Fucus vesiculosus,Bladder Wrack,CFM
2024-10-19,research,"Castle Beach, Falmouth",50.14554601,-5.062432948,Fucus vesiculosus,Bladder Wrack,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14553719,-5.06152918,Terpios gelatinosus,Blue Encrusting Sponge,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14551143,-5.06206972,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14544592,-5.062268609,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14539705,-5.061742994,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14541141,-5.061876346,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.1460844,-5.063236772,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14558201,-5.061229372,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14535903,-5.061940641,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14561383,-5.0612695,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.14561339,-5.061755469,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,research,"Castle Beach, Falmouth",50.1465605,-5.061936,Patella pellucida,Blue-rayed Limpet,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14565745,-5.064394147,Halichondria panicea,Bread-crumb Sponge,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14556091,-5.062019366,Acanthochitona crinita,Bristly Mail-shell,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1458176,-5.061619926,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1456388,-5.061797127,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14549274,-5.06219536,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14578065,-5.062908903,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14563062,-5.062089886,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14550141,-5.062198885,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14691389,-5.058658333,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14533733,-5.061921263,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14687786,-5.058191846,Ulva lactuca,Broadleaf Sea Lettuce,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14569827,-5.062204643,Fucophycidae,Brown Algae,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14578391,-5.06260739,Phaeophyceae,Brown Algae,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14556409,-5.062366603,Phaeophyceae,Brown Algae,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14662621,-5.059901626,Bifurcaria bifurcata,Brown Forking Weed,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14598333,-5.061066667,Bryozoa,Bryozoans,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14539493,-5.061699047,Bryozoa,Bryozoans,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14542297,-5.061851272,Bryozoa,Bryozoans,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1470403,-5.0606701,Lomentaria articulata,Bunny Ears,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14573494,-5.062247246,Caridea,Caridean Shrimps,MPS
2024-10-19,research,"Castle Beach, Falmouth",50.14541879,-5.06168112,Hippolyte varians,Chamaeleon Prawn,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14745556,-5.057730556,Pelvetia canaliculata,Channelled Wrack,CFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14539596,-5.06196446,Polyplacophora,Chitons,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14558034,-5.062442654,Spirobranchus,Christmas Tree Worms,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14546242,-5.062440797,Furcellaria lumbricalis,Clawed Forked Weed,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14548783,-5.062211612,Spirorbis spirorbis,Coil Worm,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.1464058,-5.0621988,Spirorbis spirorbis,Coil Worm,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14555834,-5.062167595,Morchellium argus,Colonial Sea Squirt,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14576057,-5.061281262,Morchellium argus,Colonial Sea Squirt,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14547166,-5.06168746,Polyclinidae,Colonial Sea Squirts,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14584788,-5.061565447,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14542463,-5.062073646,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14535667,-5.063721667,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14547777,-5.06189249,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14540096,-5.062064404,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14537924,-5.06204865,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14561151,-5.061457492,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14643576,-5.061860406,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14548792,-5.06196832,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14531665,-5.061775843,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14541766,-5.06185151,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14573518,-5.061523277,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14533164,-5.062018912,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14538918,-5.061963089,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14602187,-5.063468741,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.1453378,-5.061916484,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.145325,-5.062033333,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14554743,-5.06197013,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14557099,-5.06142519,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14574379,-5.0613662,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14575055,-5.06135828,Ophiothrix fragilis,Common Brittle Stars,SSF
2024-10-19,research,"Castle Beach, Falmouth",50.14584875,-5.06237959,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14559922,-5.062447602,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14584884,-5.061673326,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.1455964,-5.061966058,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14563664,-5.062442101,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14554572,-5.061651194,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14565774,-5.062755874,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14581085,-5.062196222,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14552002,-5.06228311,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14555564,-5.062359804,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.1461636,-5.0636902,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14692778,-5.058672222,Corallina officinalis,Common Coralline,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14569505,-5.061256258,Corallina officinalis,Common Coralline,TFM
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14521534,-5.062527694,Corallina officinalis,Common Coralline,TFM
2024-10-19,research,"Castle Beach, Falmouth",50.14568874,-5.0627477,Patella vulgata,Common European Limpet,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14588333,-5.062338333,Patella vulgata,Common European Limpet,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14557867,-5.061619999,Patella vulgata,Common European Limpet,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14575513,-5.062878295,Patella vulgata,Common European Limpet,MG
2024-10-19,needs_id,"Castle Beach, Falmouth",50.14582652,-5.062158434,Patella vulgata,Common European Limpet,MG
