species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Abietinaria,Coarse Sea Fir Hydroids,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium ,Dendroid
Abietinaria abietina,Hydroid,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium ,Dendroid
Acanthocardia,Cockles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthocardia echinata,Prickly Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthocardia paucicostata,Poorly-ribbed Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthochitona,Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Ovoid
Acanthochitona crinita,Bristly Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Ovoid
Acanthochitona fascicularis,Velvety Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Ovoid
Acanthodoris pilosa,Hairy Spiny Dorid,MPS,Carnivore,Predation,Bryozoans,Mobile,Small,Dorid
Acotylea,Acotylean Flatworms,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Polyclad
Acromegalomma,Fan Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Tubicolous
Acromegalomma vesiculosum,Fan Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Tubicolous
Acrosiphonia coalita,Green Rope,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Actinia,Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actinia equina,Atlantic Beadlet Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actinia fragacea,Strawberry Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actiniaria,Sea Anemones,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actiniidae,Sea Anemones,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Aeolidia,Sea Slugs,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidia filomenae,Sea Slug,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidia papillosa,Grey Sea Slug ,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidiella alderi,Sea Slug,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidiella glauca,Glauca Aeolid,MPS,Carnivore,Predation,Anemones,Mobile,Medium,Vermiform unsegmented
Aequipecten opercularis,Queen Scallop,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Agardhiella subulata,Agardh's red weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Aglaophamus macroura,Purple Worm,MPS,Carnivore,Predation ,Invertebrates,Mobile,Small ,Vermiform segmented
Ahnfeltia plicata,Landlady's Wig,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Ahnfeltiales,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Alcyonidium,Sea Chervil,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Dendroid
Alcyonium digitatum,Dead Man's Fingers,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Digitate
Alentia gelatinosa,Scale Worm,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Gelatinous
Alitta succinea,Clam Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Small,Vermiform segmented
Alitta virens,King Ragworm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Large,Vermiform segmented
Amblyosyllis,Bristle Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Medium,Vermiform segmented
Amblyosyllis spectabilis,Mustache Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Medium,Vermiform segmented
Ammodytidae,Sand Lances,MPS,Omnivore,Predation / Grazing,Small crustaceans / Phytoplankton,Mobile,Small,Pisciform
Ammotheidae,Sea Spiders,MPS,Carnivore,Predation,Soft-bodied invertebrates,Mobile,Small,Articulate
Amphipholis,Brittle Stars,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile ,Medium,Radial / Stellate
Amphipholis squamata,Dwarf Brittle Stars,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile ,Small,Radial / Stellate
Amphipoda,Amphipods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Amphiporus lactifloreus,Milk-white Ribbon Worm,MPS,Carnivore,Predation,Amphipods / Crustaceans,Mobile,Medium,Vermiform unsegmented
Ampithoe,Amphipod,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Tubicolous
Anemonia,Anemone,MPS,Carnivore,Predation,Small fish / Crustaceans ,Semi-sessile,Medium,Radial
Anemonia viridis,Snakelocks Anemone,MPS,Carnivore,Predation,Small fish / Crustaceans ,Semi-sessile,Medium,Radial
Anguilliformes,True Eels,MPS,Carnivore,Predation,Crustaceans / Fish / Invertebrates,Mobile,Medium,Pisciform
Anomia,Oysters,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomia achaeus,Saddle Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomia ephippium,Saddle Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomiidae,Jingle Shells,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomura,Hermit Crab,MPS,Carnivore,Scavenging,Carrion,Mobile,Medium,Articulate
Anotrichium barbatum,Bearded Red Seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Anthopleura ballii,Red-speckled Anemone,MPS,Carnivore,Predation,Small invertebrates,Semi-sessile,Medium,Radial
Anthopleura thallia,Glaucous Pimplet,MPS,Carnivore,Predation,Small invertebrates,Semi-sessile,Medium,Radial
