observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-10-18,needs_id,"Somerset, England, GB",51.1926375702,-3.2277750224,Littorina,,Mollusca
2025-10-18,needs_id,"Kilve, Bridgwater TA5 1EG, UK",51.1930001006,-3.227872923,Florideophyceae,Florideophycean algae,Plantae
2025-10-18,research,"Bridgwater, England, GB",51.192560336,-3.2284147617,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-10-18,research,"Bridgwater, England, GB",51.192560336,-3.2284147617,Ulva lactuca,Broadleaf Sea Lettuce,Plantae
2025-10-18,research,"Bridgwater, England, GB",51.192560336,-3.2284147617,Ascophyllum nodosum,Knotted Wrack,Chromista
2025-10-18,research,"Somerset, England, GB",51.192560336,-3.2284147617,Patella,Patella Limpets,Mollusca
2025-10-18,research,"Bridgwater, England, GB",51.1927917134,-3.2284982968,Fucus vesiculosus,bladder wrack,Chromista
2025-10-18,research,"Bridgwater, England, GB",51.1931973137,-3.2284805272,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-10-18,research,"Somerset, England, GB",51.1932167178,-3.2285606582,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-10-18,research,"Somerset, England, GB",51.1933984458,-3.2283532935,Mytilus edulis,Blue Mussel,Mollusca
2025-10-18,research,"Somerset, England, GB",51.1934589129,-3.2283692993,Lithophyllum incrustans,Pink Plate Weeds,Plantae
2025-10-18,research,"Somerset, England, GB",51.1934105494,-3.2283496857,Austrominius modestus,Beaked Barnacle,Animalia
2025-10-18,research,"Bridgwater, England, GB",51.1939483323,-3.2285584789,Magallana gigas,Pacific Oyster,Mollusca
2025-10-18,research,"Bridgwater, England, GB",51.1941730511,-3.2286470756,Fucus serratus,Saw Wrack,Chromista
2025-10-18,research,"Somerset, England, GB",51.1944205372,-3.2293405738,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-10-18,research,"Somerset, England, GB",51.1944141594,-3.2293599253,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-10-18,research,"Kilve, Bridgwater TA5 1EG, UK",51.1931494937,-3.2278561592,Ulva intestinalis intestinalis,,Plantae
2025-10-18,research,"Kilve, Bridgwater TA5 1EG, UK",51.1932291278,-3.2275765389,Carcinus maenas,European Green Crab,Animalia
2025-10-18,research,"Kilve, Bridgwater TA5 1EG, UK",51.1925676773,-3.2273656502,Patella vulgata,Common European Limpet,Mollusca
2025-10-18,research,"St Edwards Church, Goathurst, Bridgwater TA5 2DE, UK",51.1934152903,-3.2273079827,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-10-18,research,"Kilve, Bridgwater TA5 1EG, UK",51.19301712,-3.227048479,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-11-22,needs_id,"Kilve, Bridgwater TA5 1EG, UK",51.19272,-3.2278216667,Littorina saxatilis,Rough Periwinkle,Mollusca
2025-11-22,research,"Kilve, Bridgwater TA5 1EG, UK",51.1929716667,-3.2282416667,Patella vulgata,Common European Limpet,Mollusca
2025-11-22,research,"Kilve, Bridgwater TA5 1EG, UK",51.193035,-3.2282533333,Austrominius modestus,Beaked Barnacle,Animalia
2025-11-22,research,"Kilve, Bridgwater TA5 1EG, UK",51.19316,-3.2282283333,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-11-22,research,"Kilve, Bridgwater TA5 1EG, UK",51.1932116667,-3.22835,Carcinus maenas,European Green Crab,Animalia
2025-11-22,research,"Kilve, Bridgwater TA5 1EG, UK",51.1931916667,-3.2281333333,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-11-22,needs_id,"Bridgwater, England, GB",51.1929261255,-3.2272931316,Fucus,vesicled rockweeds,Chromista
2025-11-22,research,"Bridgwater, England, GB",51.1932887829,-3.2281222627,Patella vulgata,Common European Limpet,Mollusca
2025-11-22,research,"Bridgwater, England, GB",51.1932848748,-3.228117432,Fucus vesiculosus,bladder wrack,Chromista
2025-11-22,research,"Bridgwater, England, GB",51.1933901951,-3.2284394342,Littorina littorea,Common Periwinkle,Mollusca
2025-11-22,research,"Somerset, England, GB",51.1934179843,-3.2284707922,Austrominius modestus,Beaked Barnacle,Animalia
2025-11-22,research,"Somerset, England, GB",51.1934179843,-3.2284707922,Austrominius modestus,Beaked Barnacle,Animalia
2025-11-22,research,"Bridgwater, England, GB",51.1934212762,-3.2285386814,Lepidochitona cinerea,Grey Mail-shell,Mollusca
2025-11-22,needs_id,"Bridgwater, England, GB",51.1934237723,-3.2285410229,Cirripedia,Barnacles,Animalia
2025-11-22,needs_id,"Bridgwater, England, GB",51.1934553094,-3.2284863218,Teloschistaceae,"sunburst lichens, firedots, and allies",Fungi
2025-11-22,research,"Somerset, England, GB",51.1935136734,-3.2285535624,Ascophyllum nodosum,Knotted Wrack,Chromista
2025-11-22,research,"Bridgwater, England, GB",51.1934911169,-3.2286480384,Mytilus edulis,Blue Mussel,Mollusca
2025-11-22,needs_id,"Bridgwater, England, GB",51.1934982256,-3.2286633188,Ulva,Sea Lettuces,Plantae
2025-11-22,research,"Somerset, England, GB",51.1935412213,-3.2286507704,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-11-22,needs_id,"Somerset, England, GB",51.1935882829,-3.2286614153,Corallinophycidae,,Plantae
2025-11-22,research,"Somerset, England, GB",51.1935886337,-3.2286609726,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-11-22,research,"Bridgwater, England, GB",51.1935682824,-3.2287025868,Ascophyllum nodosum,Knotted Wrack,Chromista
2025-11-22,research,"Somerset, England, GB",51.1937731449,-3.2290432117,Littorina littorea,Common Periwinkle,Mollusca
2025-11-22,research,"Somerset, England, GB",51.1937764126,-3.2290471441,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-11-22,research,"Somerset, England, GB",51.193834809,-3.2290626953,Magallana gigas,Pacific Oyster,Mollusca
2025-11-22,needs_id,"Somerset, England, GB",51.1939161465,-3.2290457297,Corallinophycidae,,Plantae
