observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-05-20,needs_id,"St Andrews KY16 8LH, UK",56.33335985,-2.77879603,Fucus vesiculosus,bladder wrack,Chromista
2025-05-20,research,"St Andrews KY16 8LH, UK",56.33320856,-2.77812068,Fucus vesiculosus,bladder wrack,Chromista
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330567302,-2.7775963368,Patella,Patella Limpets,Mollusca
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33304784,-2.77724412,Saccharina latissima,Sugar Kelp,Chromista
2025-05-20,research,"St Andrews Bay, St. Andrews, Scotland, GB",56.333035491,-2.7772663848,Littorina littorea,Common Periwinkle,Mollusca
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33293658,-2.77751887,Littorina littorea,Common Periwinkle,Mollusca
2025-05-20,needs_id,"St Andrews KY16 8TU, UK",56.33312009,-2.7771674,Life,life,
2025-05-20,needs_id,"St Andrews KY16 8TU, UK",56.33295267,-2.77755767,Patella,Patella Limpets,Mollusca
2025-05-20,needs_id,"St Andrews KY16 8TU, UK",56.3329488643,-2.7776067975,Patella vulgata,Common European Limpet,Mollusca
2025-05-20,research,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330329272,-2.7774199368,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-05-20,needs_id,"St Andrews KY16 8TU, UK",56.33296503,-2.77758919,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.3329561665,-2.7775893556,Ulva intestinalis,Gutweed,Plantae
2025-05-20,research,"St. Andrews, Scotland, GB",56.3329900909,-2.7766337792,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33306899,-2.77745874,Fucus spiralis,Spiral Wrack,Chromista
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330529107,-2.7770383681,Fucophycidae,,Chromista
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33297356,-2.77644153,Himanthalia elongata,Thongweed,Chromista
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33293594,-2.77754064,Carcinus maenas,European Green Crab,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33299034,-2.77666491,Littorina littorea,Common Periwinkle,Mollusca
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3329101593,-2.7766729149,Ceramium,Banded Weeds,Plantae
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330258393,-2.776436305,Chorda filum,Mermaid's Tresses,Chromista
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33303288,-2.77653705,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330270617,-2.7764676279,Heterotremata,Heterotrematan Crabs,Animalia
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330399756,-2.776447846,Carcinus maenas,European Green Crab,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.3329359465,-2.7775476909,Carcinus maenas,European Green Crab,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33305719,-2.77730885,Carcinus maenas,European Green Crab,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.3329655898,-2.7776672219,Carcinus maenas,European Green Crab,Animalia
2025-05-20,research,"St Andrews KY16 8TU, UK",56.33306705,-2.77645061,Codium fragile,Dead Man's Fingers,Plantae
2025-05-20,needs_id,"St Andrews Bay, St. Andrews, Scotland, GB",56.3330280735,-2.7764631808,Gastropoda,Gastropods,Mollusca
2025-05-20,research,"Carnoustie DD7, UK",56.33304304,-2.77700374,Saccharina latissima,Sugar Kelp,Chromista
