observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.79321045,-1.19544041,Fucus serratus,Saw Wrack,Chromista
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932818429,-1.1954589232,Fucus serratus,Saw Wrack,Chromista
2025-10-18,needs_id,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932104,-1.1954589,Chondrus crispus,Irish Moss,Plantae
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7936988,-1.1948669,Lanice conchilega,Sand Mason Worm,Animalia
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932293683,-1.195521618,Ulva lactuca,Broadleaf Sea Lettuce,Plantae
2025-10-18,needs_id,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932516667,-1.19577,Ulva,Sea Lettuces,Plantae
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.793208058,-1.1954283114,Buccinum undatum,Common Whelk,Mollusca
2025-10-18,needs_id,"Spithead, Lee-On-The-Solent, England, GB",50.7933224945,-1.1958113481,Florideophyceae,Florideophycean algae,Plantae
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7933316667,-1.1958083333,Pholas dactylus,Common piddock,Mollusca
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932206688,-1.1954707264,Magallana gigas,Pacific Oyster,Mollusca
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.79323448,-1.19561134,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-10-18,needs_id,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7935116667,-1.19582,Animalia,Animals,Animalia
2025-10-18,research,"Marine Parade East, Lee-on-the-Solent PO13 9BJ, UK",50.7932049855,-1.1954379993,Barnea candida,White Piddock,Mollusca
