observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-02-12,needs_id,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207388889,-4.1648111111,Patella vulgata,Common European Limpet,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207388889,-4.1648111111,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207388889,-4.1648694444,Porcellana platycheles,Hairy Porcelain Crab,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207416667,-4.1648666667,Botryllus schlosseri,Star Tunicate,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207805556,-4.1647777778,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207305556,-4.1648583333,Ophiothrix fragilis,Common Brittle Star,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207861111,-4.1647638889,Asterina gibbosa,Cushion Star,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.22108552,-4.1649827,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2206861111,-4.1647,Carcinus maenas,European Green Crab,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207194444,-4.1647861111,Asterias rubens,Common Sea Star,Animalia
2025-02-12,needs_id,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2207194444,-4.1647861111,Pagurus bernhardus,Common Hermit Crab,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Fucus serratus,Saw Wrack,Chromista
2025-02-12,needs_id,"Menai Strait, Menai Bridge, Wales, GB",53.2209975785,-4.1648941767,Fucus,vesicled rockweeds,Chromista
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Palmaria palmata,Dulse,Plantae
2025-02-12,needs_id,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2206861111,-4.1647,Hydrozoa,Hydrozoans,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Venerupis corrugata,Pullet Carpet Shell,Mollusca
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2209372777,-4.1647073593,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Littorina obtusata,Flat Periwinkle,Mollusca
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2211586966,-4.1646973179,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Steromphala cineraria,Grey Topshell,Mollusca
2025-02-12,needs_id,"Menai Strait, Menai Bridge, Wales, GB",53.2208882785,-4.1647506785,Venerupis corrugata,Pullet Carpet Shell,Mollusca
2025-02-12,needs_id,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.220625,-4.1647027778,Botryllus schlosseri,Star Tunicate,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2209016667,-4.164655,Pagurus bernhardus,Common Hermit Crab,Animalia
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2209399529,-4.164808346,Mytilus edulis,Blue Mussel,Mollusca
2025-02-12,needs_id,"Menai Strait, Menai Bridge, Wales, GB",53.2211273851,-4.1644596067,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-02-12,research,"Anglesey, Wales, GB",53.220796974,-4.1645601497,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2208001197,-4.1644965362,Porcellana platycheles,Hairy Porcelain Crab,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2208566667,-4.1647116667,Galathea squamifera,Black Squat Lobster,Animalia
2025-02-12,research,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2206611111,-4.1649111111,Onchidoris bilamellata,barnacle-eating dorid,Mollusca
2025-02-12,needs_id,"Menai Strait, Menai Bridge, Wales, GB",53.2206118469,-4.1644639567,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2208891992,-4.1647622673,Pagurus bernhardus,Common Hermit Crab,Animalia
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2208862461,-4.1647412343,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-02-12,research,"Menai Strait, Menai Bridge, Wales, GB",53.2208302495,-4.1644209161,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-02-12,needs_id,"Menai Bridge, UK",53.2206083333,-4.1646611111,Corella eumyota,Orange-tipped Sea Squirt,Animalia
2025-02-12,research,"Menai Bridge, UK",53.2206083333,-4.1646611111,Pisidia longicornis,Long-clawed Porcelain Crab,Animalia
2025-02-12,needs_id,"Menai Suspension Bridge, Menai Bridge LL59 5HG, UK",53.2210311061,-4.1643404681,Littorina obtusata,Flat Periwinkle,Mollusca
2025-02-12,needs_id,"Menai Bridge, UK",53.2208204229,-4.1644587924,Nucella lapillus,Atlantic Dogwhelk,Mollusca
