observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3571723209,-4.1261115319,Trochidae,Top Snails,Mollusca
2024-11-16,needs_id,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.356881,-4.1255244,Spirorbis,Spiral Fanworms,Animalia
2024-11-16,research,"South West Coast Point, Plymouth, England, GB",50.3574372237,-4.1264674309,Phorcus lineatus,Lined Top Shell,Mollusca
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3570596409,-4.1261163913,Carcinus maenas,European Green Crab,Animalia
2024-11-16,needs_id,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3571325052,-4.1260748408,Gastropoda,Gastropods,Mollusca
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3570817849,-4.1260243834,Patella vulgata,Common European Limpet,Mollusca
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3569862163,-4.1261057993,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3569944513,-4.1263277858,Littorina littorea,Common Periwinkle,Mollusca
2024-11-16,research,"Lawrence Road, Plymouth, England, GB",50.358855,-4.1274471667,Steromphala umbilicalis,Purple Topshell,Mollusca
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3574709408,-4.1266471334,Actinia fragacea,Strawberry Anemone,Animalia
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3571080548,-4.1270334154,Caenogastropoda,Caenogastropods,Mollusca
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3570801507,-4.1261980646,Littorina obtusata,Flat Periwinkle,Mollusca
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3570868306,-4.1260132201,Bryozoa,Bryozoans,Animalia
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3574617208,-4.1269114986,Patella vulgata,Common European Limpet,Mollusca
2024-11-16,research,"Mt Batten House, Mount Batten, Plymouth PL9 9SS, UK",50.356746,-4.1242965,Magallana gigas,Pacific Oyster,Mollusca
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3570420808,-4.1263106838,Ascophyllum nodosum,Knotted Wrack,Chromista
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3571076232,-4.1270537478,Palaemon,Glass Shrimps,Animalia
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3571313915,-4.1266628375,Asterina gibbosa,Cushion Star,Animalia
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3571472737,-4.1270378977,Anemonia viridis,snakelocks anemone,Animalia
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3570248979,-4.1262168065,Fucus vesiculosus,bladder wrack,Chromista
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3574974696,-4.1269591078,Gastropoda,Gastropods,Mollusca
2024-11-16,research,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.3572593714,-4.1266044977,Amphipholis squamata,Dwarf Brittle Star,Animalia
2024-11-16,research,"River Plym, Plymouth, England, GB",50.3574422747,-4.1270456091,Anemonia viridis,snakelocks anemone,Animalia
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3570329864,-4.1262883041,Acanthochitona,,Mollusca
2024-11-16,needs_id,"Mount Batten Water Sports Centre, Mount Batten, Plymouth PL9 9XH, UK",50.357140737,-4.1266512657,Laminariaceae,,Chromista
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3572175714,-4.1272844774,Carcinus maenas,European Green Crab,Animalia
2024-11-16,research,"Lord Louis Crescent, Plymouth, England, GB",50.3570329445,-4.1262831073,Carcinus maenas,European Green Crab,Animalia
2024-11-16,research,"Plymouth Yacht Haven, Plymouth, England, GB",50.3573775245,-4.1269348003,Asterina gibbosa,Cushion Star,Animalia
2024-11-16,needs_id,"Batten Bay, Plymouth, England, GB",50.3570177733,-4.1263119411,Ulva,Sea Lettuces,Plantae
2024-11-16,research,"Mount Batten, Plymouth PL9, UK",50.3590027778,-4.127275,Anemonia viridis,snakelocks anemone,Animalia
2024-11-16,research,"Batten Bay, Plymouth, England, GB",50.3570329215,-4.1263154224,Actinia equina,Atlantic Beadlet Anemone,Animalia
