observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-05-23,research,"Brighton and Hove, England, GB",50.8053685169,-0.070982703,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8054397784,-0.0710610144,Nucella lapillus,Atlantic Dogwhelk,Mollusca
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.80523862,-0.0716813313,Acanthocardia,,Mollusca
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.8052638803,-0.071597236,Chorda filum,Mermaid's Tresses,Chromista
2025-05-23,research,"Brighton and Hove, England, GB",50.805218418,-0.0718874499,Phorcus lineatus,Lined Top Shell,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8052888335,-0.0717288321,Sargassum muticum,Japanese Wireweed,Chromista
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.8054980898,-0.0717165245,Ceramium,Banded Weeds,Plantae
2025-05-23,research,"Brighton and Hove, England, GB",50.8055266693,-0.0717327769,Saccharina latissima,Sugar Kelp,Chromista
2025-05-23,research,"Brighton and Hove, England, GB",50.8055949257,-0.0716799708,Actinia fragacea,Strawberry Anemone,Animalia
2025-05-23,research,"Brighton and Hove, England, GB",50.805568738,-0.0716717274,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.8054744956,-0.0707017457,Patella vulgata,Common European Limpet,Mollusca
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.8055297628,-0.0707046171,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-05-23,research,"Brighton and Hove, England, GB",50.8054762596,-0.0707817711,Crepidula fornicata,Common Slipper Limpet,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8055373008,-0.0707399428,Ocenebra erinaceus,European Sting Winkle,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8055690273,-0.0708276097,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8054244141,-0.0707702054,Venerupis corrugata,Pullet Carpet Shell,Mollusca
2025-05-23,needs_id,"Brighton and Hove, England, GB",50.8055378896,-0.0707902647,Littorina,,Mollusca
2025-05-23,research,"Brighton and Hove, England, GB",50.8054836972,-0.0708114768,Fucus serratus,Saw Wrack,Chromista
2025-05-23,research,"Brighton and Hove, England, GB",50.8054938823,-0.0707655571,Chondrus crispus,Irish Moss,Plantae
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8062976255,-0.072006647,Cancer pagurus,Edible Crab,Animalia
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8062807487,-0.0719333473,Fucus serratus,Saw Wrack,Chromista
2025-07-19,needs_id,"Brighton and Hove, England, GB",50.8062169466,-0.0719874725,Calliblepharis,,Plantae
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8062965853,-0.0720240417,Palaemon serratus,Common Prawn,Animalia
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8063041531,-0.0711955126,Carcinus maenas,European Green Crab,Animalia
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063020115,-0.0711799826,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-07-19,research,United Kingdom,50.80601997,-0.07221108,Phorcus lineatus,Lined Top Shell,Mollusca
2025-07-19,research,United Kingdom,50.8060057057,-0.0722352415,Actinia fragacea,Strawberry Anemone,Animalia
2025-07-19,needs_id,United Kingdom,50.8059548551,-0.0722121075,Patella ulyssiponensis,China Limpet,Mollusca
2025-07-19,needs_id,United Kingdom,50.8058828932,-0.0722771927,Ceramium,Banded Weeds,Plantae
2025-07-19,needs_id,United Kingdom,50.80598189,-0.07224568,Patella vulgata,Common European Limpet,Mollusca
2025-07-19,research,United Kingdom,50.8058026334,-0.0722441275,Fucus serratus,Saw Wrack,Chromista
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8061808997,-0.0722686889,Carcinus maenas,European Green Crab,Animalia
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8058493472,-0.0729097032,Fucus serratus,Saw Wrack,Chromista
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8063016051,-0.0711769686,Ulva intestinalis,Gutweed,Plantae
2025-07-19,needs_id,"North Atlantic Ocean, Brighton, England, GB",50.8058366751,-0.0729676535,Ulva intestinalis,Gutweed,Plantae
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8060468325,-0.0724517658,Actinia,,Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.806043295,-0.0724522057,Ulva lactuca,Broadleaf Sea Lettuce,Plantae
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063072977,-0.0712734668,Carcinus maenas,European Green Crab,Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8060377782,-0.0724538375,Cantharidinae,,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8060377782,-0.0724538375,Patellogastropoda,True Limpets,Mollusca
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8058389341,-0.0731594702,Necora puber,Velvet Swimming Crab,Animalia
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8058435335,-0.073152998,Fucus serratus,Saw Wrack,Chromista
2025-07-19,research,United Kingdom,50.8057018,-0.07247747,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-07-19,research,United Kingdom,50.8057141047,-0.0723355541,Phorcus lineatus,Lined Top Shell,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8058687742,-0.0726395886,Pleocyemata,"Crabs, Lobsters, Shrimps, and Allies",Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8063007069,-0.0711728951,Rhodymeniophycidae,,Plantae
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063008639,-0.0712064774,Carcinus maenas,European Green Crab,Animalia
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063026822,-0.0711977839,Lipophrys pholis,Shanny,Actinopterygii
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.806304425,-0.0711788701,Porcellana platycheles,Hairy Porcelain Crab,Animalia
2025-07-19,needs_id,"South Downs National Park, Brighton, England, GB",50.8063022241,-0.0711799222,Rhodymeniophycidae,,Plantae
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063061699,-0.0711782034,Carcinus maenas,European Green Crab,Animalia
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8063064853,-0.0711891626,Necora puber,Velvet Swimming Crab,Animalia
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8062995199,-0.0711673167,Magallana gigas,Pacific Oyster,Mollusca
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.806305489,-0.071196106,Larus argentatus,European Herring Gull,Aves
2025-07-19,needs_id,United Kingdom,50.80564303,-0.07258269,Buccinoidea,True Whelks and Allies,Mollusca
2025-07-19,research,"South Downs National Park, Brighton, England, GB",50.8068301005,-0.0736814026,Carcinus maenas,European Green Crab,Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8063004508,-0.0711717703,Littorina,,Mollusca
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8064514181,-0.0731298181,Palaemon serratus,Common Prawn,Animalia
2025-07-19,research,United Kingdom,50.80552197,-0.0726336,Cancer pagurus,Edible Crab,Animalia
2025-07-19,research,United Kingdom,50.80550044,-0.07267499,Corallina officinalis,Common Coralline,Plantae
2025-07-19,needs_id,"North Atlantic Ocean, Brighton, England, GB",50.8061402036,-0.0723008975,Chondrus crispus,Irish Moss,Plantae
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8061787239,-0.0713950075,Loligo vulgaris,European Squid,Mollusca
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8061248874,-0.0726880776,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8061347023,-0.072750139,Acanthocardia echinata,Prickly Cockle,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8061718446,-0.0726704436,Diptera,Flies,Insecta
2025-07-19,research,United Kingdom,50.8056284,-0.07278797,Ulva intestinalis,Gutweed,Plantae
2025-07-19,research,United Kingdom,50.80572282,-0.0728409,Mytilus edulis,Blue Mussel,Mollusca
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8062376372,-0.071968516,Sepia officinalis,European Common Cuttlefish,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.806166368,-0.072686383,Brachyura,True Crabs,Animalia
2025-07-19,research,United Kingdom,50.80591385,-0.07288277,Maja brachydactyla,Spiny Spider Crab,Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.806166368,-0.072686383,Gobioidei,Gobies and allies,Actinopterygii
2025-07-19,research,"North Atlantic Ocean, Brighton, England, GB",50.8052489067,-0.0709993821,Maja brachydactyla,Spiny Spider Crab,Animalia
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.806166368,-0.072686383,Gobioidei,Gobies and allies,Actinopterygii
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8062959293,-0.071170537,Pholas dactylus,Common piddock,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8061701087,-0.0726702136,Gobius,,Actinopterygii
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8060504176,-0.072003153,Chondrus crispus,Irish Moss,Plantae
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8059846443,-0.0721267786,Patella vulgata,Common European Limpet,Mollusca
2025-07-19,research,United Kingdom,50.8060668,-0.07277018,Fucus vesiculosus,bladder wrack,Chromista
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8058754774,-0.0724134408,Fucus serratus,Saw Wrack,Chromista
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8059003298,-0.0724193081,Ceramiales,,Plantae
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8057722962,-0.072583342,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8057932929,-0.0725940708,Pholadidae,Piddocks and Angelwings,Mollusca
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8058655868,-0.0726365671,Littorina,,Mollusca
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.805888637,-0.0726081524,Steromphala umbilicalis,Purple Topshell,Mollusca
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8058960131,-0.0726235751,Littorina littorea,Common Periwinkle,Mollusca
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8059466398,-0.0727239065,Semibalanus balanoides,Northern Acorn Barnacle,Animalia
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8058936662,-0.0726105832,Ulva intestinalis,Gutweed,Plantae
2025-07-19,research,"Undercliff Walk, Brighton, England, GB",50.8058261011,-0.0727750736,Lipophrys pholis,Shanny,Actinopterygii
2025-07-19,needs_id,"Undercliff Walk, Brighton, England, GB",50.8058324784,-0.0727714321,Palaemon,Glass Shrimps,Animalia
