observed_on,quality_grade,place_guess,latitude,longitude,scientific_name,common_name,iconic_taxon_name
2025-05-24,research,"Southend-On-Sea, England, GB",51.529045,0.7989,Carcinus maenas,European Green Crab,Animalia
2025-05-24,research,"Southend-On-Sea, England, GB",51.5287583333,0.799375,Sargassum muticum,Japanese Wireweed,Chromista
2025-05-24,needs_id,"Southend-On-Sea, England, GB",51.528755,0.7991533333,Ceramiales,,Plantae
2025-05-24,needs_id,"Southend-on-Sea, England, GB",51.5287883333,0.7994116667,Fucus,vesicled rockweeds,Chromista
2025-05-24,needs_id,"Southend-On-Sea, England, GB",51.5290416667,0.7988966667,Balanus crenatus,Wrinkled Barnacle,Animalia
2025-05-24,needs_id,"Southend-On-Sea, England, GB",51.5290866667,0.7988283333,Aurelia,Moon Jellies,Animalia
2025-05-24,research,"Southend-On-Sea, England, GB",51.528755,0.7994,Sargassum muticum,Japanese Wireweed,Chromista
2025-10-04,research,"Southend-on-Sea, England, GB",51.52893167,0.79886145,Actinia equina,Atlantic Beadlet Anemone,Animalia
2025-10-04,research,"East Beach, Southend-on-Sea SS3 9AE, UK",51.5289899334,0.7987509482,Ulva intestinalis,Gutweed,Plantae
2025-10-04,research,"Southend-on-Sea SS3 9AD, UK",51.5291186979,0.7986307517,Cerastoderma edule,Common Cockle,Mollusca
2025-10-04,needs_id,"East Beach, Southend-on-Sea SS3 9AE, UK",51.52899404,0.79876995,Rhodophyta,red algae,Plantae
2025-10-04,needs_id,"Southend-on-Sea SS3 9AD, UK",51.5291003428,0.7986273989,Cirripedia,Barnacles,Animalia
2025-10-04,needs_id,"Southend-on-Sea SS3 9AD, UK",51.5290955454,0.798593536,Ostrea edulis,Native oyster,Mollusca
2025-10-04,needs_id,"GRM4+86, Shoeburyness, Southend-on-Sea SS3 9SR, UK",51.5290882451,0.798660256,Vertebrata lanosa,Wrack Siphon Weed,Plantae
2025-10-04,needs_id,"Southend-on-Sea, England, GB",51.52891604,0.79881073,Grateloupia turuturu,Devil's Tongue Weed,Plantae
2025-10-04,research,"Southend-on-Sea, UK",51.52910056,0.79886409,Fucus vesiculosus,bladder wrack,Chromista
2025-10-04,needs_id,"Southend-on-Sea SS3 9AD, UK",51.5290988827,0.7986284047,Zostera,Eelgrasses,Plantae
2025-10-04,research,"Southend-on-Sea, UK",51.52925156,0.7992746,Carcinus maenas,European Green Crab,Animalia
2025-10-04,needs_id,"Southend-on-Sea, UK",51.52912028,0.7996256,Littorina littorea,Common Periwinkle,Mollusca
2025-10-04,needs_id,"Southend-on-Sea, England, GB",51.5291793949,0.7986273989,Fucus vesiculosus,bladder wrack,Chromista
2025-10-04,needs_id,"Southend-on-Sea, England, GB",51.5289883828,0.7987988926,Acer pseudoplatanus,sycamore,Plantae
2025-10-04,needs_id,"Southend-on-Sea, UK",51.52911061,0.79965979,Zostera,Eelgrasses,Plantae
2025-10-04,needs_id,"George Street, Southend-on-Sea, England, GB",51.5289957494,0.7978374596,Lipophrys pholis,Shanny,Actinopterygii
2025-10-04,needs_id,"Shoeburyness, Southend-on-Sea SS3 9SG, UK",51.5290801104,0.7985663787,Fucus,vesicled rockweeds,Chromista
2025-10-04,needs_id,"East Beach, Southend-on-Sea SS3 9AE, UK",51.5287278051,0.7990907712,Littorinidae,Periwinkle Snails,Mollusca
2025-10-04,needs_id,"Southend-on-Sea, UK",51.5290083317,0.7987940311,,,
2025-10-04,needs_id,"Southend-on-Sea, UK",51.5290028835,0.7988294866,Fucus,vesicled rockweeds,Chromista
2025-10-04,needs_id,"Southend-on-Sea, England, GB",51.5290183062,0.7988921832,Phaeophyceae,brown algae,Chromista
2025-10-04,needs_id,"East Beach, Southend-on-Sea SS3 9AE, UK",51.52891484,0.79879751,,,
2025-10-04,needs_id,"Southend-on-Sea, England, GB",51.5290342318,0.7989443187,Fucus,vesicled rockweeds,Chromista
2025-10-04,needs_id,"Southend-on-Sea, UK",51.52897594,0.79878895,Pomatoschistus,,Actinopterygii
2025-10-04,needs_id,"Southend-on-Sea, UK",51.5290476009,0.7988923509,Gastropoda,Gastropods,Mollusca
2025-10-04,needs_id,"East Beach, Southend-on-Sea SS3 9AE, UK",51.5287316202,0.7992022763,Chthamalus montagui,Montagu's Stellate Barnacle,Animalia
2025-10-04,needs_id,"Southend-on-Sea, UK",51.5287755149,0.7993195733,Fucus,vesicled rockweeds,Chromista
